ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR,day_of_week,hour,is_weekend
708746,2017-08-17,17/08/2017,916,103916,30-34,M,15,17,17,0.0024077674850134737,0.0029411764705882353,0.0022345494995634724,0.03333333333333333,0.047619047619047616,0.0001360544217687,Thursday,0,0
708749,2017-08-17,17/08/2017,916,103917,30-34,M,16,19,21,0.00585173694753187,0.0058823529411764705,0.0028439722297109887,0.03333333333333333,0.0,0.0001119758132243,Thursday,0,0
708771,2017-08-17,17/08/2017,916,103920,30-34,M,20,25,22,0.0002265759036239803,0.0,0.0,0.016666666666666666,0.0,0.0,Thursday,0,0
708815,2017-08-30,30/08/2017,916,103928,30-34,M,28,32,32,0.0013949894801952485,0.0029411764705882353,0.001953277605611731,0.016666666666666666,0.0,0.0002347969006809,Wednesday,0,0
708818,2017-08-17,17/08/2017,916,103928,30-34,M,28,33,32,0.0013537050969512833,0.0029411764705882353,0.0020157824296116672,0.016666666666666666,0.047619047619047616,0.0002419549963706,Thursday,0,0
708820,2017-08-17,17/08/2017,916,103929,30-34,M,29,30,30,0.0006269688903233886,0.0,0.0,0.016666666666666666,0.047619047619047616,0.0,Thursday,0,0
708889,2017-08-17,17/08/2017,916,103940,30-34,M,15,16,17,0.005115826433516427,0.008823529411764706,0.007453707313324546,0.016666666666666666,0.0,0.0001921229586935,Thursday,0,0
708895,2017-08-17,17/08/2017,916,103941,30-34,M,16,20,18,0.0035876489458191766,0.0029411764705882353,0.0019845300176116994,0.016666666666666666,0.047619047619047616,9.131586156515389e-05,Thursday,0,0
708953,2017-08-17,17/08/2017,916,103951,30-34,M,27,31,31,0.0007711365778419971,0.0029411764705882353,0.0023439331267340775,0.016666666666666666,0.0,0.0004246284501061,Thursday,0,0
708958,2017-08-30,30/08/2017,916,103952,30-34,M,28,32,31,0.0031128785385135774,0.008823529411764706,0.004937885735419928,0.016666666666666666,0.0,0.000315723005683,Wednesday,0,0
708979,2017-08-30,30/08/2017,916,103955,30-34,M,31,37,34,0.0004005600901521192,0.0,0.0,0.016666666666666666,0.0,0.0,Wednesday,0,0
